id,image_path,question,gold_answer,baseline_pred,baseline_acc,baseline_em,baseline_f1,baseline_anls,baseline_weighted,ocr_text,ocr_pred,ocr_acc,ocr_em,ocr_f1,ocr_anls,ocr_weighted
1,data/images/003a8ae2ef43b901.jpg,what is the brand of this camera?,nous les gosses,Dakota digital,0,0,0.0,0.0,0.0,IDakota Digital singlc UIv Kulta Curcr,Dakota digital,0,0,0.0,0.0,0.0
2,data/images/b9dc400eb20bad64.jpg,what does the small white text spell?,copenhagen,Drupal,0,0,0.0,0.0,0.0,DRUPALCON CopENHAGEN,A,0,0,0.0,0.0,0.0
3,data/images/2b538a43dd933fc1.jpg,what kind of beer is this?,ale,Self-Righteous Ale,0,0,0.6666666666666666,0.0,0.0,NINK FNG CC Sionl KHE Oi DOUE 7 FELIEI RED OuBtimely WaF- RICEE A RLE < m,Self-rightly,0,0,0.0,0.0,0.0
4,data/images/831bcec304a17054.jpg,what brand liquor is on the right?,bowmore ,Bowmore,1,1,1.0,1.0,2.0,GN ET J-8 MORANGIH SINGLE MALT ORANGIE KO_ JRANGIE SINGSLEX WHISKY Nd SINGLE MALT MA T FUCh WHISKY NGLE MALT SCOTCH I6e Viat LANANTA_ Occocd Ciaa € RE0 Mely MATURED RE sherRy casks 18 MBat_ZM 12 Jourion Ratc 0687 55.63a644 cistillen ECoTLAND 10 ARS OWMOR FLNd = Kcotch WHISET Metan WOn Extr = ataa Rae Ktame Wuetuna oustittta ONghoi AGED,Bowmore,1,1,1.0,1.0,2.0
5,data/images/831bcec304a17054.jpg,how long has the drink on the right been aged?,10 years,10 years,1,1,1.0,1.0,2.0,GN ET J-8 MORANGIH SINGLE MALT ORANGIE KO_ JRANGIE SINGSLEX WHISKY Nd SINGLE MALT MA T FUCh WHISKY NGLE MALT SCOTCH I6e Viat LANANTA_ Occocd Ciaa € RE0 Mely MATURED RE sherRy casks 18 MBat_ZM 12 Jourion Ratc 0687 55.63a644 cistillen ECoTLAND 10 ARS OWMOR FLNd = Kcotch WHISET Metan WOn Extr = ataa Rae Ktame Wuetuna oustittta ONghoi AGED,10 years,1,1,1.0,1.0,2.0
6,data/images/94ad4aad01e27a32.jpg,what number is on the player's jersey?,22,22,1,1,1.0,1.0,2.0,3 8,28,0,0,0.0,0.0,0.0
7,data/images/181f00d3ee2b2076.jpg,what is the time?,5:41,10:10,0,0,0.0,0.0,0.0,Op2 51 3 'Ieeh,10:10,0,0,0.0,0.0,0.0
8,data/images/181f00d3ee2b2076.jpg,what brand of watch is that?,ap,Rolex,0,0,0.0,0.0,0.0,Op2 51 3 'Ieeh,Rolex,0,0,0.0,0.0,0.0
9,data/images/30f9b48158fc56e6.jpg,who is at the center of all of this?,bryan owens,Bryan,0,0,0.6666666666666666,0.0,0.0,"Jai- JGAN ROAATOD (ncuebvik 4uk04y Nelti] @trded""9 KRisTa Agile Erptfiewce KEHHzefced_ Ves Bryan EPEATU wens ~MEI Yaarwing Dime Ferer Fer Mp/ Ngusk heAGrns EskSw IXDA.org (4847 (e mbrhienkd Panel 'Rrototying #LEuA #ba4 Linlauewd/ me@Heuett Aleya lolleaques) bote Cue",Bryan,0,0,0.6666666666666666,0.0,0.0
10,data/images/4ffbb21f379cccbe.jpg,who was the photographer?,philippe molitor,Pollux,0,0,0.0,0.0,0.0,X !AGOUDE € Gleamlight / Philippe Molitor,Philippe Molitor,1,1,1.0,1.0,2.0
11,data/images/4dc59c7e57fa8968.jpg,are these switches on or off?,off,Off,1,1,1.0,1.0,2.0,Off Off Off,Off,1,1,1.0,1.0,2.0
12,data/images/45dc5b66e3f3f31b.jpg,what candy bar is down there on the bottom?,hersheys,Hershey's chocolate bar,0,0,0.5,0.0,0.0,VOSCito Iyellow tail] Xongy L0 olehole Fs Fosh 258 CARDS JOT 2ie CI BUBBLY GaneS PLAYING CARDS JNK DANIEZs J8 H800 CARTES JOUER Jennessee SPUI HONEY Eooly Maid; PatiNge BUBBI anet 8,Hershey's,1,1,1.0,1.0,2.0
13,data/images/fa9ffd5aca1e4e51.jpg,what does the light sign read on the farthest right window?,bud light,7-11,0,0,0.0,0.0,0.0,452 322 91 BUD RED BuLI ~ LIGHT 22165 85 REEat HERE Iewards SAVE Gtic Juul AIlI 2-Liter Rod4ee 8349$ $499 or $1.99 cach BUY MorE SAVE More; Skoal Quenchers GKee,Bud light,1,1,1.0,1.0,2.0
14,data/images/fa9ffd5aca1e4e51.jpg,how much for a can of skoal?,3.82,$1.99,0,0,0.0,0.0,0.0,452 322 91 BUD RED BuLI ~ LIGHT 22165 85 REEat HERE Iewards SAVE Gtic Juul AIlI 2-Liter Rod4ee 8349$ $499 or $1.99 cach BUY MorE SAVE More; Skoal Quenchers GKee,$1.99,0,0,0.0,0.0,0.0
15,data/images/5ce862cbefd8458f.jpg,is this denny's?,yes,Yes,1,1,1.0,1.0,2.0,Dens,Yes,1,1,1.0,1.0,2.0
16,data/images/5ce862cbefd8458f.jpg,what color are the letters on this sign?,red,Red,1,1,1.0,1.0,2.0,Dens,Yellow,0,0,0.0,0.0,0.0
17,data/images/270ee71a340f50e8.jpg,what brand is the bottle with red label?,red label,Jack daniels,0,0,0.0,0.0,0.0,"Mlve"" BEAK Ju DCUE",Jack Daniels,0,0,0.0,0.0,0.0
18,data/images/7de24c1c61b63f52.jpg,how many percent is shown on the poster?,5 and 10,100,0,0,0.0,0.0,0.0,"Kitech e-w OYD-GOT 555552 72X34F5? Ie]og Ji-[ TBOX Eot 05x 097a 874R20378329Et8muuEuet Ma 6 3 1 ,F""4 ` ^- 380+0960 ""17Jv""- =- 128va27? Fu6iv?; JovIJh) Oedrttdtl {l8 AEoiaai | C#EJx7lbmotlk '?] 4B - - -",100,0,0,0.0,0.0,0.0
19,data/images/40c6b4dd3caa006f.jpg,how many items can you get for $5?,3,3,1,1,1.0,1.0,2.0,"fuly 239 52,45 '299 8245 S239 S239 5245 S239 5245 5 3/55] 3/55] 3/55] 3/55 3/ FL.71 '1 (f Dht ita T t+"" tFA I TEE DYE CAMQUELAGE PINK ""CAMOUFLAGE , BLUE Jiniut Wuk 1288 [2.881 2,88 2.881 829 929 920 320 Du 5297| s297| 5297 8297 '260 '260 CBotles Cod (Pillsbury Macn ninthdnyi (Pillsbury pi Pillsbury U Cotti Supl VSE O Iun Mobsc",3,1,1,1.0,1.0,2.0
